Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,17645416937.3793,18515111650.4997
Afghanistan,AFG,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..
Albania,ALB,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,12379000501.4942,11942964386.2708
Albania,ALB,Trade (% of GDP),NE.TRD.GNFS.ZS,76.2791946200238,59.9517494831703
Algeria,DZA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,135688646580.766,119936744560.463
Algeria,DZA,Trade (% of GDP),NE.TRD.GNFS.ZS,51.8075701263808,45.3110891110652
American Samoa,ASM,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..
American Samoa,ASM,Trade (% of GDP),NE.TRD.GNFS.ZS,156.568778979907,156.005586592179
Andorra,AND,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..
Andorra,AND,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..
Angola,AGO,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,56232452982.204,36901999782.6626
Angola,AGO,Trade (% of GDP),NE.TRD.GNFS.ZS,57.8295381183036,51.8874459204056
Antigua and Barbuda,ATG,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..
Antigua and Barbuda,ATG,Trade (% of GDP),NE.TRD.GNFS.ZS,139.410164737487,91.5251421713841
Argentina,ARG,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,371323128176.697,327255215138.132
Argentina,ARG,Trade (% of GDP),NE.TRD.GNFS.ZS,32.6306150458499,30.2197998857878
Armenia,ARM,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,11892705734.2577,10692827285.4571
Armenia,ARM,Trade (% of GDP),NE.TRD.GNFS.ZS,96.1141541288708,69.4888075396076
Aruba,ABW,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..
Aruba,ABW,Trade (% of GDP),NE.TRD.GNFS.ZS,145.01077410891,116.572796114819
Australia,AUS,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1073529444765.3,1031357476918.74
Australia,AUS,Trade (% of GDP),NE.TRD.GNFS.ZS,45.8267257025408,44.2334340841568
Austria,AUT,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,361253244069.608,346404129309.739
Austria,AUT,Trade (% of GDP),NE.TRD.GNFS.ZS,107.885997501218,100.223631233977
Azerbaijan,AZE,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,36150816053.3299,35223025022.515
Azerbaijan,AZE,Trade (% of GDP),NE.TRD.GNFS.ZS,85.8181454084561,72.0178676487811
"Bahamas, The",BHS,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,11698187434.1352,8810633686.21029
"Bahamas, The",BHS,Trade (% of GDP),NE.TRD.GNFS.ZS,71.9202898550725,59.4566730243827
Bahrain,BHR,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,29045694429.3583,26245086411.2323
Bahrain,BHR,Trade (% of GDP),NE.TRD.GNFS.ZS,141.700834964514,139.807939692076
Bangladesh,BGD,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,312361096812.876,334746651039.415
Bangladesh,BGD,Trade (% of GDP),NE.TRD.GNFS.ZS,31.5780512814675,26.2714465475855
Barbados,BRB,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,4489740643.18001,3736790368.54274
Barbados,BRB,Trade (% of GDP),NE.TRD.GNFS.ZS,74.4527398225102,66.5375230104029
Belarus,BLR,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,53025555442.3388,48291021805.109
Belarus,BLR,Trade (% of GDP),NE.TRD.GNFS.ZS,130.850406102184,118.933883690331
Belgium,BEL,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,439830970223.445,421257871277.035
Belgium,BEL,Trade (% of GDP),NE.TRD.GNFS.ZS,164.176916086035,157.180722372774
Belize,BLZ,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1495857800.40758,1280228770.46902
Belize,BLZ,Trade (% of GDP),NE.TRD.GNFS.ZS,100.931098696462,80.3605769230769
Benin,BEN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,12674161809.4,13740430754.8485
Benin,BEN,Trade (% of GDP),NE.TRD.GNFS.ZS,63.68133231423,44.8332333768726
Bermuda,BMU,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..
Bermuda,BMU,Trade (% of GDP),NE.TRD.GNFS.ZS,77.5601016506443,69.1958803841416
Bhutan,BTN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,2051715786.48799,1915584350.97858
